,Sentence,Subjectivity Scores,Polarity Scores,Sentiment Assessments
0,"The Chinese citrus fly, <i>Bactrocera minax </i>(Enderlein), is a devastating citrus pest in Asia",0.6333333333333333,-0.06666666666666665,"[(['chinese'], 0.0, 0.0, None), (['fly'], 0.8, 0.9, None), (['devastating'], -1.0, 1.0, None)]"
1," This univoltine insect enters obligatory pupal diapause in each generation, while little is known about the course and the molecular mechanisms of diapause",0.5,-0.1875,"[(['little'], -0.1875, 0.5, None)]"
2," In this study, the course of diapause was determined by measuring the respiratory rate throughout the pupal stage",0.0,0.0,[]
3," In addition, the variation of transcriptomic and metabolomic profiles of pupae at five developmental stages (pre-, early-, middle-, late-, and post-diapause) were evaluated by next-generation sequencing technology and 1H nuclear magnetic resonance spectroscopy (NMR), respectively",0.24999999999999997,-0.049999999999999996,"[(['early'], 0.1, 0.3, None), (['middle'], 0.0, 0.0, None), (['late'], -0.3, 0.6, None), (['respectively'], 0.0, 0.1, None)]"
4," A total of 4,808 genes were significantly altered in ten pairwise comparisons, representing major shifts in metabolism and signal transduction as well as endocrine system and digestive system",0.53125,0.109375,"[(['total'], 0.0, 0.75, None), (['significantly'], 0.375, 0.875, None), (['ten'], 0.0, 0.0, None), (['major'], 0.0625, 0.5, None)]"
5, Gene expression profiles were validated by qRT-PCR analysis,0.0,0.0,[]
6," In addition, 48 metabolites were identified and quantified by 1H NMR",0.0,0.0,[]
7," Nine of which significantly contributed to the variation in the metabolomic profiles, especially proline and trehalose",0.9375,0.1875,"[(['significantly'], 0.375, 0.875, None), (['especially'], 0.0, 1.0, None)]"
8," Moreover, the samples collected within diapause maintenance (early-, middle-, and late-diapause) only exhibited marginal transcriptomic and metabolomic variation with each other",0.41875,-0.006249999999999999,"[(['early'], 0.1, 0.3, None), (['middle'], 0.0, 0.0, None), (['only'], 0.0, 1.0, None), (['other'], -0.125, 0.375, None)]"
9, These findings greatly improve our understanding of <i>B,0.75,0.8,"[(['greatly'], 0.8, 0.75, None)]"
10, minax </i>diapause and lay the foundation for further pertinent studies,0.5,0.0,"[(['further'], 0.0, 0.5, None)]"
11,,0.0,0.0,[]
